Move,Damage,Startup,Active,Recovery,FrameAdvantage,Level ,Starter,P1,P2,Attribute,Inv,Hitstun,Blockstun,Untechable,Notes
5D/j.D Bomb,"450, 800",19,Until Contact (7) 15,40,,"1,3",N,80,"80, 80",P1,,,"11+5, 16+0","14+5, 40+0",
5D/j.D Super Bomb,"550, 1200",19,Until Contact (7) 15,40,,"1,3",N,80,"80, 80",P1,,,"11+9, 16+0","14+9, 40+0",Bonus proration 110%
5D/j.D Missile,"550, 600",19,"Until Offscreen, 10",Total 40,,3,N,80,"80, 80",P2,,,"16+6, 16+0","16+6, 40+0",
5D/j.D Super Missile,"650, 1100",19,"Until Offscreen, 10",40,,"4, 3",N,80,"80, 80",P2,,,"18+6, 16+0","18+6, 55+0",Bonus proration 110%
5D Box Summon,,20,,Total 33,,,,,,,,,,,
j.D Box Summon,,22,,Total 47,,,,,,,,,,,
Box,1000,7,15,,,3,N,70,89,P1,,,16+0,55+0,
Super Box,"900, 800",8,"20, 72",,,3,N,"80, 70",89,P2,,,16+0,55+0,Bonus proration 110%
5D/j.D Halo,800,21,Until Offscreen,42,-4,3,N,90,79,P1,,,16+1,55+1,
5D/j.D Super Halo,1100,21,Until Offscreen,42,-2,4,N,90,82,P2,,,18+1,60+1,Bonus proration 110%
Bubble,800,28,Until Offscreen,48,-6,0,N,80,95,P1,,,9+5,,
Hop,,,,37,,,,,,,5-31 P,,,,Can cancel into folloups 12F until landing
Air Hop,,,,6,,,,,,,,,,,Can cancel into folloups 7F until landing
Hop A (1-2),450,6,6,7,,2,L,90,94,H,,,13,20,
Hop A (3),500,6,6,7,,2,L,90,84,H,,,13,"20, Slide 10",
Hop B (1-2),450,6,6,7,,2,L,90,94,H,,,13,20,
Hop B (3),500,6,6,7,,2,L,90,84,H,,,13,45,
Hop C (1-2),450,6,6,7,,2,L,90,94,H,,,13,20,
Hop C (3),500,6,6,7,,2,L,90,84,H,,,13,"30, Slide 15",
Heart Car Horiz,1100,13,15,28,-10,4,L,90,92,F,,,18,"40, Slide 9","Fatal Counter. On hit/block, transitions into recovery animation (28F)"
Heart Car Vert,1300,20,19,19,,4,N,90,92,H,1-9 B,,18,60,Fatal Counter. Frame Adv listed is tested on standing Ragna
Dramatic Sammy,1500,,,,,3,N,100,60,T,,,,100,Minimum Damage 100%
Falling Melody,800,,,,,5,L,100,94,,,,,33,
Swallow Moon,,,,,,,,,,,,,,,Can cancel into attacks on 14F
Happy Magicka,,,,135,,,,,D,,1-105 Guard HBFP,,,,
Happy Magicka >Attack,100,2, ,70,-52,0,N,100,,P1,1-29 All,,9+8,100+8,
Mystique Momo,See notes,19,,40,12,5,N,80,94,P1,,,20+13,30+13,"Damage depends on item thrown. Halo or Frying Pan: 850, Bat: 900, Cat Stick 950, Hammer: 1200, Fan: 1300, Super Cat Stick: 1500, Super Bat: 1400, Super Hammer 1800"
Mystique Momo Bomb/Missile/Box,See notes,19,,40,,,,,,See notes,,,,,"Projectiles appear on 19, 22, 25. Damage, P1, P2, hitstun, etc. is equal to the individual items thrown"
Miracle Jeanne,,,,8,,,,,,,7-8 All,,,,
Cure Dot Typhoon,440*13,16,"4 (12) 9*11,5",44,-30,4,N,80,82,B,1-16 All,,18,100,
Air Cure Dot Typhoon,440*13,16,"4 (12) 9*11,5",44,,4,N,80,82,B,1-16 All,,18,100,
Cure Dot Typhoon OD Followup,200*7,,,,,,,80,99,,,,,100,
EA,"Normal: 600, 800*3 AF: 600, 800*4, 1950",10,3,34,-10,100,,100,,B,Fast: 1-12 All<br/>Slow: 1-22 All,,26,Slide 40,10% Minimum Damage
Astral,30000,10+31,3,9,9,5,,,,P2,1-43 All,,20,,
